Split,Eval Mode,Model,n_early,Features,R²,MAE,RMSE,MAPE,Cell R²,Train (s),Predict (s),n_train,n_test
combined_80_20,combined,LightGBM,15,all,0.8673895908589817,0.033154432101253774,0.051213134374633575,4.879352299304399,0.8552227486342477,35.44,1.2026,217,55
combined_80_20,combined,XGBoost,15,all,0.8585245827780683,0.033589815354737956,0.052897243431791016,4.882164874702396,0.8521666866863241,24.01,1.0976,217,55
combined_80_20,combined,GradBoost,15,all,0.8834087650606249,0.03101801697173611,0.04802036981019681,4.6019767269332785,0.8710687064612954,373.56,0.8099,217,55
combined_80_20,combined,LightGBM,30,top3,0.7841560975934189,0.04302020080635557,0.0650217148544907,6.232502182633519,0.7681762743335875,9.63,1.1732,217,55
combined_80_20,combined,XGBoost,30,top3,0.8002951580823594,0.04113489180508794,0.06254359262652281,6.010929880955203,0.7726691486991599,4.8,1.0606,217,55
combined_80_20,combined,GradBoost,30,top3,0.8049637747145122,0.039918790501273435,0.06180821031292029,5.908607035264604,0.7839043936514852,109.9,0.6508,217,55
combined_80_20,combined,LightGBM,30,top5,0.8982697988669877,0.028159760738566644,0.04463889943616951,4.207416149552495,0.8813651732695236,11.01,1.1833,217,55
combined_80_20,combined,XGBoost,30,top5,0.8997653575664852,0.028519407607236053,0.04430956125649188,4.279052043188412,0.8744432626970011,5.98,1.0909,217,55
combined_80_20,combined,GradBoost,30,top5,0.9140603774044773,0.0257460507197377,0.041028463027230455,3.8796705849582453,0.8866230604670067,133.98,0.9793,217,55
combined_80_20,combined,LightGBM,30,top10,0.8905477917047817,0.029354085152781505,0.046302110936118135,4.395156777464903,0.8759191457934586,12.98,1.1827,217,55
combined_80_20,combined,XGBoost,30,top10,0.887858448147583,0.02954651441618957,0.04686750214047924,4.425900144126806,0.8694910295880115,8.53,1.0922,217,55
combined_80_20,combined,GradBoost,30,top10,0.8964379128394979,0.028560411978999445,0.04503901918201226,4.250007629005218,0.876716215958517,172.55,0.7954,217,55
combined_80_20,combined,LightGBM,30,top20,0.8806889917888631,0.031225640828292867,0.04834246426304111,4.627799966117037,0.8657156027241576,20.08,1.2172,217,55
combined_80_20,combined,XGBoost,30,top20,0.8827862116210832,0.030798046165558642,0.04791570454995351,4.593818617192298,0.8665530788820813,13.11,1.1412,217,55
combined_80_20,combined,GradBoost,30,top20,0.8893945012234271,0.029310610697339798,0.0465454128001115,4.439074507717219,0.8673739963731879,249.51,0.8102,217,55
combined_80_20,combined,LightGBM,30,all,0.8784740497360626,0.0316377904986892,0.04878912617727234,4.728597918595805,0.8587050396114433,31.63,1.2062,217,55
combined_80_20,combined,XGBoost,30,all,0.8589372661432078,0.03408209221079306,0.05256475871506463,4.995006261637412,0.848365370425403,23.58,1.1665,217,55
combined_80_20,combined,GradBoost,30,all,0.8792540219772453,0.03169341900667461,0.04863230609024395,4.745823045123378,0.859930701566076,374.83,0.7888,217,55
combined_80_20,combined,LightGBM,50,top3,0.7839603189900677,0.043127549380245406,0.06482058666568337,6.2749234447633055,0.7564057520046031,9.08,1.1435,217,55
combined_80_20,combined,XGBoost,50,top3,0.7919170182621085,0.041301045423234484,0.06361572410655623,6.023703332894179,0.7570597253725074,4.75,1.0479,217,55
combined_80_20,combined,GradBoost,50,top3,0.8015742775867278,0.040673121993772085,0.06212196416229889,5.985976918568796,0.7692382929820714,109.51,0.7601,217,55
combined_80_20,combined,LightGBM,50,top5,0.9027774014589249,0.028075095348494165,0.04348403192968267,4.193406118294875,0.8805013451157779,11.14,1.1742,217,55
combined_80_20,combined,XGBoost,50,top5,0.9022025711728305,0.028220311342553067,0.04361239251911207,4.292259933642554,0.8733729530840775,5.82,1.1016,217,55
combined_80_20,combined,GradBoost,50,top5,0.8938052670640692,0.028648154720571757,0.04544621117678815,4.332336454542194,0.8642293789047274,125.9,0.6667,217,55
combined_80_20,combined,LightGBM,50,top10,0.8908682029471316,0.02930173323278078,0.04607038557780076,4.409893887038345,0.876457002254461,14.72,1.1839,217,55
combined_80_20,combined,XGBoost,50,top10,0.893233074723913,0.029268089655296713,0.0455684820229034,4.383227107455285,0.8767412533885519,8.59,1.1287,217,55
combined_80_20,combined,GradBoost,50,top10,0.8934002524823128,0.02924656051391027,0.045532792032236244,4.416363667474651,0.8680958597264753,165.62,0.6869,217,55
combined_80_20,combined,LightGBM,50,top20,0.8787847563913052,0.0319242856481792,0.04855397752780806,4.796889913421285,0.85936719854488,18.88,1.2773,217,55
combined_80_20,combined,XGBoost,50,top20,0.883105269526141,0.031245723840760343,0.04768081395861058,4.694164379665123,0.8569951401496984,13.49,1.1804,217,55
combined_80_20,combined,GradBoost,50,top20,0.8849132110498539,0.030171164352834772,0.04731065166425285,4.554465747238501,0.861846011224685,248.55,0.9692,217,55
combined_80_20,combined,LightGBM,50,all,0.8753215347789396,0.03214643059789299,0.04924270679667413,4.830455395038762,0.8587579761672289,29.79,1.3456,217,55
combined_80_20,combined,XGBoost,50,all,0.8647274478454501,0.03315443105903701,0.0512921655804884,4.877803929178983,0.8556482573843853,25.72,1.1785,217,55
combined_80_20,combined,GradBoost,50,all,0.8694943076064774,0.03221979691729642,0.050380319948492326,4.896224798301993,0.8493513270699098,416.46,0.8405,217,55
combined_80_20,combined,Transformer,5,all,0.8005072190530166,0.04985630706469418,0.06332860624144372,6.8801675435872065,0.7536772813430865,113.96,0.0297,217,55
combined_80_20,combined,LSTM_Attn,5,all,-0.028350880349997665,0.1163797478353149,0.14378282090828226,16.6428679099808,-0.359982506763707,24.91,0.0349,217,55
combined_80_20,combined,TCN,5,all,0.1824751920970501,0.11119746851520243,0.12819964067374337,14.882134240357583,-0.07679626949245495,40.75,0.0297,217,55
combined_80_20,combined,PINN,5,all,0.7440247202695418,0.056264023160627556,0.071735701716824,7.766006900895444,0.6910798834901558,142.58,0.0613,217,55
combined_80_20,combined,HYBRID,5,all,0.9416988411980801,0.02447048792530322,0.03423536254078639,3.455654289486263,0.9183023725942775,165.56,0.0286,217,55
combined_80_20,combined,Transformer,10,all,0.7483485815305241,0.05360484793474857,0.0710026059121746,7.634416150024253,0.6783507716339432,73.49,0.0277,217,55
combined_80_20,combined,LSTM_Attn,10,all,0.9333581635695934,0.026357548100639408,0.03653827794487774,3.749307479330697,0.885940953248915,138.5,0.0353,217,55
combined_80_20,combined,TCN,10,all,0.7216958260554904,0.05587818483537193,0.07466798935654924,7.9543671540296375,0.5483994141529079,89.72,0.029,217,55
combined_80_20,combined,PINN,10,all,0.757222477940856,0.055221274294578945,0.06973950077582818,7.638221822968978,0.6793014739735572,147.59,0.0504,217,55
combined_80_20,combined,HYBRID,10,all,0.9491493683121159,0.021059641273330945,0.03191705214311095,3.0599675449928405,0.9170060508664531,171.77,0.0282,217,55
combined_80_20,combined,Transformer,15,all,0.7032964088698284,0.06102502504361504,0.07697146040373802,8.446400917488193,0.6279259564456791,54.69,0.0275,217,55
combined_80_20,combined,LSTM_Attn,15,all,0.9530622947755117,0.021633574941346885,0.03061464669319283,3.0328384694926442,0.9246775282331966,140.61,0.0457,217,55
combined_80_20,combined,TCN,15,all,0.6328668885792706,0.06762779420590481,0.08562096192746466,9.437133972512896,0.24368737638922908,69.26,0.0177,217,55
combined_80_20,combined,PINN,15,all,0.7778553041270669,0.05189574226255302,0.06660185100480996,7.254556003558102,0.7089484185584912,216.0,0.0572,217,55
combined_80_20,combined,HYBRID,15,all,0.942952938861671,0.023576793466904205,0.03375086930724527,3.3414695958187033,0.913151725206414,177.75,0.0377,217,55
