model,config,global_R2,global_MAE,global_RMSE,global_MAPE,mean_cell_R2,mean_cell_MAE,mean_cell_RMSE,mean_cell_MAPE,n_cells,split,n_early,feature_set,n_features,eval_mode,best_params,train_time_sec,predict_time_sec,n_train_cells,n_test_cells
XGBoost,combined_80_20_n10_all,0.8646094349120383,0.03340060750079851,0.05186773413803943,4.856258302002021,0.8521314878861401,0.033442375879186075,0.04492372020480689,4.862992589906275,55,combined_80_20,10,all,48,combined,"{""subsample"": 0.9, ""reg_lambda"": 0.1, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 6, ""learning_rate"": 0.05, ""gamma"": 0.0, ""colsample_bytree"": 0.9}",24.22,1.1545,217,55
GradBoost,combined_80_20_n10_all,0.8856568579038306,0.031321395247206174,0.04766593723281114,4.6759805755829165,0.864908420248157,0.03134849824895413,0.04295005038521503,4.681358460980073,55,combined_80_20,10,all,48,combined,"{""subsample"": 1.0, ""n_estimators"": 200, ""min_samples_split"": 10, ""min_samples_leaf"": 5, ""max_features"": 0.9, ""max_depth"": 4, ""learning_rate"": 0.1}",357.28,0.6519,217,55
LightGBM,combined_80_20_n15_top3,0.8018895345063494,0.041255419447956306,0.06259595336216159,6.015142980185588,0.788231136643096,0.04126053221135315,0.054494676431341066,6.018510893390165,55,combined_80_20,15,top3,3,combined,"{""subsample"": 0.9, ""reg_lambda"": 1.0, ""reg_alpha"": 0.0, ""num_leaves"": 15, ""n_estimators"": 200, ""min_child_samples"": 10, ""max_depth"": 8, ""learning_rate"": 0.03, ""colsample_bytree"": 1.0}",10.69,1.1544,217,55
XGBoost,combined_80_20_n15_top3,0.7999976819368919,0.0408053685604309,0.06289412271640271,5.951137010999679,0.7814534503396028,0.04082468120906131,0.054189436914563814,5.956509042022341,55,combined_80_20,15,top3,3,combined,"{""subsample"": 0.9, ""reg_lambda"": 1.0, ""reg_alpha"": 0.0, ""n_estimators"": 100, ""min_child_weight"": 3, ""max_depth"": 5, ""learning_rate"": 0.1, ""gamma"": 0.01, ""colsample_bytree"": 1.0}",4.84,1.0667,217,55
GradBoost,combined_80_20_n15_top3,0.8145815057746524,0.0390142512851936,0.06055765842700482,5.736684026347214,0.7998775633448866,0.0390551659246831,0.052075537034383154,5.745135712921586,55,combined_80_20,15,top3,3,combined,"{""subsample"": 0.8, ""n_estimators"": 300, ""min_samples_split"": 5, ""min_samples_leaf"": 10, ""max_features"": 0.8, ""max_depth"": 4, ""learning_rate"": 0.03}",109.62,0.8434,217,55
LightGBM,combined_80_20_n15_top5,0.9007447927495982,0.028419240575953672,0.0443066790587249,4.252202451629085,0.8837988892935361,0.028478415069511473,0.039739423001998536,4.26168245795714,55,combined_80_20,15,top5,5,combined,"{""subsample"": 0.7, ""reg_lambda"": 0.01, ""reg_alpha"": 1.0, ""num_leaves"": 31, ""n_estimators"": 200, ""min_child_samples"": 30, ""max_depth"": 8, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}",11.93,1.2952,217,55
XGBoost,combined_80_20_n15_top5,0.8937360695336648,0.029793422710558858,0.045844314881419886,4.447595726541452,0.8739837723393417,0.029857428273009284,0.04090792194952893,4.4583536819127945,55,combined_80_20,15,top5,5,combined,"{""subsample"": 0.9, ""reg_lambda"": 1.0, ""reg_alpha"": 0.0, ""n_estimators"": 100, ""min_child_weight"": 3, ""max_depth"": 5, ""learning_rate"": 0.1, ""gamma"": 0.01, ""colsample_bytree"": 1.0}",6.14,1.1317,217,55
GradBoost,combined_80_20_n15_top5,0.9051465910917851,0.026914249802897895,0.04331307533783171,3.9948641537430967,0.8859166219307708,0.02700616815918348,0.03713512971328982,4.008786827157197,55,combined_80_20,15,top5,5,combined,"{""subsample"": 0.7, ""n_estimators"": 500, ""min_samples_split"": 2, ""min_samples_leaf"": 5, ""max_features"": 0.8, ""max_depth"": 5, ""learning_rate"": 0.05}",134.65,0.9876,217,55
LightGBM,combined_80_20_n15_top10,0.8874554256177857,0.029783549981612437,0.04717966258792234,4.430079009047782,0.8816888671090332,0.029806351006764712,0.04110929278315742,4.434373954668194,55,combined_80_20,15,top10,10,combined,"{""subsample"": 0.7, ""reg_lambda"": 0.01, ""reg_alpha"": 1.0, ""num_leaves"": 31, ""n_estimators"": 200, ""min_child_samples"": 30, ""max_depth"": 8, ""learning_rate"": 0.05, ""colsample_bytree"": 1.0}",13.12,1.2392,217,55
XGBoost,combined_80_20_n15_top10,0.8760701550593473,0.031008335767773003,0.04950858366213137,4.5763568330767095,0.8682894339200055,0.031067533498091583,0.041942657549029524,4.5852964137852235,55,combined_80_20,15,top10,10,combined,"{""subsample"": 0.9, ""reg_lambda"": 0.1, ""reg_alpha"": 0.1, ""n_estimators"": 200, ""min_child_weight"": 1, ""max_depth"": 6, ""learning_rate"": 0.05, ""gamma"": 0.0, ""colsample_bytree"": 0.9}",8.98,1.1282,217,55
